Root,Display Seq,Level,Program,Programs,Product,Subject,Language,Grade Numbers,Pearsonbu,Asset Id,Parent Asset Id,External Id,Parent Descriptor,Descriptor,Index Code,Name,Tier Type,Tier Subtype,Sco Type,Search Title,Title In Sequence,Contenttype,Filetype,Mediatype,Hide From Student,Protected,Teacher Only,Download Restrictions,Planning,Rendersize,Mobileplatforms,Remediationtype,Testtype,Question Bank Type,English Id,Pacing,Materials,Contrib Source,Description Text,Skills,Thumbnail,Externalsource,Filename,Cutscore,Keywords,Url,Rubric Url,Activity Or SCO,Ch Lesson,Learning Model,Legacy Id,Legacy Other,Legacy Program,Notes,SCO Category,State Notes,Template01,Template02,Template03,Template04,Template05,Template06,Template07,Topic,2x Thumbnail,Grid Thumbnail,2x Grid Thumbnail,Reviewer Category,Instruction,Lexile,Guided Reading,DRA,Reading Maturity Metric,Quantile,Comprehension Skills,Text Features,Genres,Content Areas,ISBN,Author,playerTarget,Discussion Prompt,Counts Toward Mastery,Adaptive Type,Recommendable,Book Id,Pages,Featured Resources,Asset(s) to link,Thumbnail to link,Grid Thumbnail to link,Version Country,State Code,Version District,Version Statement,Content Category
"true","10",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L543971700",,"9ad70bd0-6684-456c-8b80-26519e0f74a8","California Elevate Science Grade 1",,,,,"California Elevate Science Grade 1","California Elevate Science Grade 1","Sequence","Sequence","Tier",,,,,"No",,,,,,"SCI20_CAG1_L543971700",,,"Pearson",,,,,"California Elevate Science Grade 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA",,,,
"false","10",,"California Elevate Science Grade 1",,,"Science","English","1","Science",,,"SCI20_CAG1_L613537403","9ad70bd0-6684-456c-8b80-26519e0f74a8","867f094b-f3e8-490a-b25b-f1a02c996803","California Elevate Science Grade 1",,,,,"Getting Started with K-5 California Elevate Science","Getting Started with K-5 California Elevate Science","Teacher Resources","URL","Link","true","false","true","Stream/View","No",,,"Remediation",,,"SCI20_CAG1_L613537403",,,"Pearson",,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/75899f03-f4b9-443e-a363-f7ebad9e6ece","URL","Getting Started with K-5 California Elevate Science",,,"https://us-school.pearsoned.com/school/d94524e0-a8da-44e4-ae8a-1bc779d49ef3/Getting_Started_ESCA_K-5/Getting_Started_ESCA_K-5/Getting_Started_ESCA_K-5.xhtml",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/75899f03-f4b9-443e-a363-f7ebad9e6ece","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/d7e28e57-092f-45e9-b6f1-a032982485a4","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/d7e28e57-092f-45e9-b6f1-a032982485a4",,,,,,,,,,,,,,"realize",,"false",,"YES",,,,,,,"USA",,,,
"false","20",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L560210038","9ad70bd0-6684-456c-8b80-26519e0f74a8","92ebd388-07a1-47e4-bae9-34e357ec7345","California Elevate Science Grade 1",,,,,"Welcome to Your Digital Course","Welcome to Your Digital Course","Sequence","Sequence","Tier","false",,"false",,"No",,,,,,"SCI20_CAG1_L560210038",,,"Pearson",,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/40599138-44b7-405e-826a-fea0b937856c",,"Welcome to Your Digital Course",,,,,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/40599138-44b7-405e-826a-fea0b937856c","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/bd9757c5-55ec-42fc-99c1-1642cf3e6181","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/bd9757c5-55ec-42fc-99c1-1642cf3e6181",,,,,,,,,,,,,,"realize",,,,,,,,,,,"USA","CA",,,
"false","10",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L560210082","92ebd388-07a1-47e4-bae9-34e357ec7345","b0702310-7f2d-4ac1-ba4a-af88def42e6a","California Elevate Science Grade 1:Welcome to Your Digital Course",,,,,"California Review Documents","California Review Documents","Sequence","Sequence","Lesson","true",,"false",,"No",,,,,,"SCI20_CAG1_L560210082",,,"Pearson",,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/40599138-44b7-405e-826a-fea0b937856c",,"California Review Documents",,,,,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/40599138-44b7-405e-826a-fea0b937856c","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/bd9757c5-55ec-42fc-99c1-1642cf3e6181","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/bd9757c5-55ec-42fc-99c1-1642cf3e6181",,,,,,,,,,,,,,"realize",,,,,,,,,,,"USA","CA",,,
"false","10",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L560210084","b0702310-7f2d-4ac1-ba4a-af88def42e6a","0f262b70-2088-4e77-be48-43f4ea0d691b","California Elevate Science Grade 1:Welcome to Your Digital Course:California Review Documents",,,,,"Course Description","Course Description","Reference Material","PDF","Document","true","false","true","Stream/View/Download","No",,,"Remediation",,,"SCI20_CAG1_L560210084",,,"Pearson","This document explains how the instructional segments in each grade are organized.",,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/7c85bd8f-1033-44d2-a306-39c0bddfc97c","Alfresco - School","Course Description",,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/d0356cae-1e1d-48ea-947a-507b320903b1",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/7c85bd8f-1033-44d2-a306-39c0bddfc97c",,,,,,,,,,,,,,,,"realize",,"false",,"YES",,,,,,,"USA","CA",,,
"false","20",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L560210085","b0702310-7f2d-4ac1-ba4a-af88def42e6a","178a7dad-7617-4fb2-ac14-4f2af41c516b","California Elevate Science Grade 1:Welcome to Your Digital Course:California Review Documents",,,,,"K-2 Description of SEPs and CCCs","K-2 Description of SEPs and CCCs","Reference Material","PDF","Document","true","false","true","Stream/View/Download","No",,,"Remediation",,,"SCI20_CAG1_L560210085",,,"Pearson","This document explains Science and Engineering Practices and Crosscutting Concepts to students.","SCI20_CAG1\SCI.2569|SCI20_CAG1\SCI.4671|SCI20_CAG1\SCI.4423|SCI20_CAG1\SCI.1714|SCI20_CAG1\SCI.152|SCI20_CAG1\SCI.2345|SCI20_CAG1\SCI.4362|SCI20_CAG1\SCI.1658|SCI20_CAG1\SCI.202|SCI20_CAG1\SCI.1525|SCI20_CAG1\SCI.4118|SCI20_CAG1\SCI.1924|SCI20_CAG1\SCI.190|SCI20_CAG1\SCI.585|SCI20_CAG1\SCI.2049|SCI20_CAG1\SCI.220|SCI20_CAG1\SCI.2161|SCI20_CAG1\SCI.71|SCI20_CAG1\SCI.66","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/7c85bd8f-1033-44d2-a306-39c0bddfc97c","Alfresco - School","K-2 Description of SEPs and CCCs",,"question|questions|ask|problem|problems|define|develop|use|model|models|plan|carry out|investigate|investigations|investigation|analyze|analysis|interpret|data|math|mathematics|computational|explantion|explanations|design|solutions|argument|arguments|evidence|information|communicate|communication|commmunications|pattern|patterns|cause|effect|scale|proportion|quantity|quantities|proportions|system|systems|energy|matter|structure|structures|function|functions|stability|change|changes","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/b0b1dd7d-ebc5-438a-b948-06a5df6f00d7",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/7c85bd8f-1033-44d2-a306-39c0bddfc97c",,,,,,,,,,,,,,,,"realize",,"false",,"YES",,,,,,,"USA","CA",,,
"false","30",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L560210088","b0702310-7f2d-4ac1-ba4a-af88def42e6a","a606be90-5eb1-4188-b299-5cc113b6719b","California Elevate Science Grade 1:Welcome to Your Digital Course:California Review Documents",,,,,"Instructional Time for SEP","Instructional Time for SEP","Reference Material","PDF","Document","true","false","true","Stream/View/Download","No",,,"Remediation",,,"SCI20_CAG1_L560210088",,,"Pearson","This document estimates the instructional time for each design project in the grade level",,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/7c85bd8f-1033-44d2-a306-39c0bddfc97c","Alfresco - School","Instructional Time for SEP",,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/bff9e30d-7357-415e-9531-75f56eeac779",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/7c85bd8f-1033-44d2-a306-39c0bddfc97c",,,,,,,,,,,,,,,,"realize",,"false",,"YES",,,,,,,"USA","CA",,,
"false","40",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L560210091","b0702310-7f2d-4ac1-ba4a-af88def42e6a","2a646386-dcd9-4acc-8a50-cae3f3431733","California Elevate Science Grade 1:Welcome to Your Digital Course:California Review Documents",,,,,"Using Sources","Using Sources","Reference Material","DOC/DOCX","Document","true","false","false","Stream/View/Download","No",,,"Remediation",,,"SCI20_CAG1_L560210091",,,"Pearson","This document breaks down how to use sources in the student's research.","SCI20_CAG1\SCI.2561|SCI20_CAG1\SCI.2554|SCI20_CAG1\SCI.256","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/e768464d-fdc9-43c2-ad1b-18ee15039fe8","Alfresco - School","Using Sources",,"source|sources","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/610a5c5a-1167-4016-bbe1-e51c33b67e25",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/e768464d-fdc9-43c2-ad1b-18ee15039fe8",,,,,,,,,,,,,,,,"realize",,"false",,"YES",,,,,,,"USA","CA",,,
"false","50",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L560210095","b0702310-7f2d-4ac1-ba4a-af88def42e6a","6cbcb517-526e-4d1a-8704-29699f9751e9","California Elevate Science Grade 1:Welcome to Your Digital Course:California Review Documents",,,,,"What Evidence?","What Evidence?","Reference Material","PDF","Document","true","false","false","Stream/View/Download","No",,,"Remediation",,,"SCI20_CAG1_L560210095",,,"Pearson","A document explaining when data can be used as evidence and how evidence is used in an argument.",,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/e768464d-fdc9-43c2-ad1b-18ee15039fe8","Alfresco - School","What Evidence?",,"evidence|claim|claims","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/ea88eb7a-3685-4bec-8d1f-1c081133f6f4",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/e768464d-fdc9-43c2-ad1b-18ee15039fe8",,,,,,,,,,,,,,,,"realize",,"false",,"YES",,,,,,,"USA","CA",,,
"false","60",,"California Elevate Science Grade 1",,,"Science","English","K|1|2","Science",,,"SCI20_CAG1_L560210097","b0702310-7f2d-4ac1-ba4a-af88def42e6a","61d6f203-50bc-4b57-bfe4-fafd4c73e1ce","California Elevate Science Grade 1:Welcome to Your Digital Course:California Review Documents",,,,,"Practice Using Evidence: Color Changes","Practice Using Evidence: Color Changes","Reference Material","DOC/DOCX","Document","true","false","false","Stream/View/Download","No",,,"Remediation",,,"SCI20_CAG1_L560210097",,,"Pearson","A document explaining when data can be used as evidence and how evidence is used in an argument.","SCI20_CAG1\SCI.264|SCI20_CAG1\SCI.1483|SCI20_CAG1\SCI.190|SCI20_CAG1\SCI.2561|SCI20_CAG1\SCI.2554|SCI20_CAG1\SCI.256","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/e768464d-fdc9-43c2-ad1b-18ee15039fe8","Alfresco - School","Practice Using Evidence: Color Changes",,"evidence|claim|claims|color changes|weather|outdoor|sunny|","https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/ba47bdd8-2c05-42da-8e89-30643b69dc20",,,,,,,,,,,,,,,,,,,"https://uswip.pearsoncms.com/alfresco/api/-default-/public/cmis/versions/1.1/browser/root?objectId=workspace://SpacesStore/e768464d-fdc9-43c2-ad1b-18ee15039fe8",,,,,,,,,,,,,,,,"realize",,"false",,"YES",,,,,,,"USA","CA",,,
